UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,10,3,Sent / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Space and time Fiction, Edward V King of England 1470 1483 Juvenile fiction, Richard Duke of York 1472 1483 Juvenile fiction, Richard III King of England 1452 1485 Juvenile fiction, Great Britain History Richard III 1483 1485 Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",2009.
Physical,Horizon,BOOK,2016,10,1,Among the betrayed / by Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Betrayal Juvenile fiction, Conduct of life Fiction, Science fiction","Simon & Schuster Books for Young Readers,",2002.
Physical,Horizon,BOOK,2016,10,3,Among the Barons / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Brothers Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2003.
Physical,Horizon,BOOK,2016,10,4,Among the impostors / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Fear Juvenile fiction, Interpersonal relations Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2001.
Physical,Horizon,BOOK,2016,10,2,Torn / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Time travel Juvenile fiction, Hudson Henry 1611 Juvenile fiction, Northwest Passage Juvenile fiction, Voyages and travels Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2011.
Physical,Horizon,BOOK,2016,10,2,Risked / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Time travel Juvenile fiction, Aleksei Nikolaevich Czarevitch son of Nicholas II Emperor of Russia 1904 1918 Juvenile fiction, Anastasiia Nikolaevna Grand Duchess daughter of Nicholas II Emperor of Russia 1901 1918 Juvenile fiction, Nicholas II Emperor of Russia 1868 1918 Family Juvenile fiction, Soviet Union History Revolution 1917 1921 Juvenile fiction, Anastasia Grand Duchess daughter of Nicholas II Emperor of Russia 1901 1918 Fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2013.
Physical,Horizon,BOOK,2016,10,5,Found / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Adoption Juvenile fiction, Time travel Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2008.
Physical,Horizon,BOOK,2016,10,1,Among the brave / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Family size Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",2004.
Physical,Horizon,SOUNDDISC,2016,10,2,Into the gauntlet [sound recording] / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Brothers and sisters Fiction, Ciphers Fiction, Orphans Juvenile fiction, Mystery fiction","Scholastic Audiobooks,",p2010.
Physical,Horizon,BOOK,2016,11,3,Caught / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Space and time Fiction, Einstein Maric Mileva 1875 1948 Juvenile fiction, Einstein Albert 1879 1955 Family Juvenile fiction, Switzerland History 20th century Juvenile fiction, Serbia History 1804 1918 Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",2012 London Toronto Sydney.
Physical,Horizon,BOOK,2016,11,2,Among the free / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Freedom Juvenile fiction, Conduct of life Juvenile fiction, Science fiction","Simon & Schuster Books for Young Readers,",2006.
Physical,Horizon,BOOK,2016,11,2,Sent / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Space and time Fiction, Edward V King of England 1470 1483 Juvenile fiction, Richard Duke of York 1472 1483 Juvenile fiction, Richard III King of England 1452 1485 Juvenile fiction, Great Britain History Richard III 1483 1485 Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",2009.
Physical,Horizon,BOOK,2016,11,5,Sabotaged / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Dare Virginia 1587 Juvenile fiction, Roanoke Colony Juvenile fiction, Space and time Fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",2010.
Physical,Horizon,BOOK,2016,11,2,Risked / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Time travel Juvenile fiction, Aleksei Nikolaevich Czarevitch son of Nicholas II Emperor of Russia 1904 1918 Juvenile fiction, Anastasiia Nikolaevna Grand Duchess daughter of Nicholas II Emperor of Russia 1901 1918 Juvenile fiction, Nicholas II Emperor of Russia 1868 1918 Family Juvenile fiction, Soviet Union History Revolution 1917 1921 Juvenile fiction, Anastasia Grand Duchess daughter of Nicholas II Emperor of Russia 1901 1918 Fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2013.
Physical,Horizon,BOOK,2016,11,1,Just Ella / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Aschenputtel English Adaptations Juvenile fiction, Princes Juvenile fiction, Fairy tales Adaptations, Humorous stories, Love Fiction, Fantasy, Fantasy fiction, Bildungsromans, Young adult fiction","Simon Pulse,",2007.
Physical,Horizon,BOOK,2016,11,1,Among the Barons / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Brothers Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2003.
Physical,Horizon,BOOK,2016,11,6,Under their skin / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Science fiction, Robots Juvenile fiction, Human beings Juvenile fiction, Extinction Biology Juvenile fiction, Secrets Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction","Simon & Schuster Books for Young Readers,",[2016]
Physical,Horizon,BOOK,2016,11,5,Found / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Adoption Juvenile fiction, Time travel Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2008.
Physical,Horizon,BOOK,2016,11,3,Children of exile / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Parent and child Fiction, Science fiction, Parent and child Juvenile fiction","Simon & Schuster Books for Young Readers,",[2016]
Physical,Horizon,BOOK,2016,11,1,Redeemed / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Time travel Fiction, Space and time Fiction, Twins Fiction, Brothers and sisters Fiction, Family life Fiction, Science fiction, Time travel Juvenile fiction, Space and time Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction, Family life Juvenile fiction","Simon & Schuster Books for Young Readers,",[2015]
Physical,Horizon,BOOK,2016,11,2,Among the enemy / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Conduct of life Juvenile fiction, Conduct of life Fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2005.
Physical,Horizon,BOOK,2016,11,2,Torn / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Time travel Juvenile fiction, Hudson Henry 1611 Juvenile fiction, Northwest Passage Juvenile fiction, Voyages and travels Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2011.
Physical,Horizon,BOOK,2016,11,5,Among the hidden / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson",Science fiction,"Simon & Schuster Books for Young Readers,",1998.
Physical,Horizon,BOOK,2016,11,3,Among the impostors / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Fear Juvenile fiction, Interpersonal relations Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2001.
Physical,Horizon,BOOK,2016,11,3,Among the brave / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Family size Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",2004.
Physical,Horizon,BOOK,2016,12,3,Among the hidden / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson",Science fiction,"Simon & Schuster Books for Young Readers,",1998.
Physical,Horizon,BOOK,2016,12,2,Among the betrayed / by Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Betrayal Juvenile fiction, Conduct of life Fiction, Science fiction","Simon & Schuster Books for Young Readers,",2002.
Physical,Horizon,BOOK,2016,12,3,Caught / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Space and time Fiction, Einstein Maric Mileva 1875 1948 Juvenile fiction, Einstein Albert 1879 1955 Family Juvenile fiction, Switzerland History 20th century Juvenile fiction, Serbia History 1804 1918 Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",2012 London Toronto Sydney.
Physical,Horizon,BOOK,2016,12,2,Redeemed / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Time travel Fiction, Space and time Fiction, Twins Fiction, Brothers and sisters Fiction, Family life Fiction, Science fiction, Time travel Juvenile fiction, Space and time Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction, Family life Juvenile fiction","Simon & Schuster Books for Young Readers,",[2015]
Physical,Horizon,BOOK,2016,12,1,"Don't you dare read this, Mrs. Dunphrey / Margaret Peterson Haddix.",,"Haddix, Margaret Peterson","Child abuse Juvenile fiction, Fathers and daughters Juvenile fiction, Diaries Fiction","Simon Pulse,",2004.
Physical,Horizon,BOOK,2016,12,1,Double identity / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Cloning Juvenile fiction, Identity Psychology Juvenile fiction, Secrets Juvenile fiction, Aunts Juvenile fiction","Simon & Schuster Books for Young Readers,",2005.
Physical,Horizon,BOOK,2016,12,1,Under their skin / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Science fiction, Robots Juvenile fiction, Human beings Juvenile fiction, Extinction Biology Juvenile fiction, Secrets Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction","Simon & Schuster Books for Young Readers,",[2016]
Physical,Horizon,BOOK,2016,12,1,Among the free / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Freedom Juvenile fiction, Conduct of life Juvenile fiction, Science fiction","Simon & Schuster Books for Young Readers,",2006.
Physical,Horizon,BOOK,2016,12,1,Because of Anya / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Baldness Fiction, Schools Fiction, Baldness Juvenile fiction, Schools Juvenile fiction","Simon & Schuster Books for Young Readers,",2002.
Physical,Horizon,BOOK,2016,12,2,Among the Barons / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Brothers Juvenile fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2003.
Physical,Horizon,BOOK,2016,12,3,Risked / Margaret Peterson Haddix.,,"Haddix, Margaret Peterson","Time travel Juvenile fiction, Aleksei Nikolaevich Czarevitch son of Nicholas II Emperor of Russia 1904 1918 Juvenile fiction, Anastasiia Nikolaevna Grand Duchess daughter of Nicholas II Emperor of Russia 1901 1918 Juvenile fiction, Nicholas II Emperor of Russia 1868 1918 Family Juvenile fiction, Soviet Union History Revolution 1917 1921 Juvenile fiction, Anastasia Grand Duchess daughter of Nicholas II Emperor of Russia 1901 1918 Fiction, Science fiction Juvenile fiction","Simon & Schuster Books for Young Readers,",c2013.
